"A1","A2","Block_nr_Condition_3","Block_nr_Condition_4","Q_high","Q_low","acc","acceptable","accuracy","anchor_width","average_response_time","avg_rt","background","bidi","block_eyetracker","block_number","boundary","boundary_left_correction","canvas_backend","ch","char_idx","char_right_boundary","chars_so_far","clock_backend","color_backend","compensation","coordinates","correct","correct_high","correct_instructions","correct_keyboard_response","correct_low","correct_practice_instructions","correct_response","count_GC_sentence_trigger","count_GC_trial_end","count_Setup_Sampling_Rate","count_about_this_experiment","count_acceptability_question","count_block_sequence","count_clear_screen","count_counterbalancingMODE","count_display_sentence","count_drift_correct","count_end_of_exp","count_end_of_practice_1","count_experiment","count_experiment_block_loop","count_experimental_loop","count_eyetracker_log_unicode","count_function_save_canvas_as_image","count_instructions","count_keyboard_response","count_logger","count_new_sketchpad","count_practice_block_loop","count_practice_instructions","count_practice_loop","count_practice_sequence","count_prepare_gaze_target","count_prepare_sentences","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_reset_feedback","count_reset_feedback_1","count_select_block","count_select_practice","count_set_test_mode","count_setup_condition","count_show_gaze_target_and_driftcorrect","count_test_mode_warning","count_trial_sequence","current_block","current_correct_text","current_question","current_sentence","current_string","datetime","description","desired_sampling_rate","disable_garbage_collection","do_practice","experiment_file","experiment_path","first_anchored","first_char","first_right","fix_start_time","fixated","fixation_start_time","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","freq_condition","fullscreen","gazetarget_height","gazetarget_width","has_question","height","i","index","is_Q","item_nr","key","keyboard_backend","len_high","len_low","letter_height","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mouse_backend","num_words","on_target","opensesame_codename","opensesame_version","pretarget","pretarget_n_words","psychopy_screen","psychopy_suppress_warnings","repeat_cycle","response","response_end_of_exp","response_end_of_practice_1","response_instructions","response_keyboard_response","response_new_sketchpad","response_practice_instructions","response_test_mode_warning","response_time","response_time_end_of_exp","response_time_end_of_practice_1","response_time_instructions","response_time_keyboard_response","response_time_new_sketchpad","response_time_practice_instructions","response_time_test_mode_warning","right_bound_px","round_decimals","sampler_backend","sentence","sentence_beginning","sentence_chars","sentence_high","sentence_left_boundary","sentence_low","sentence_number","sentence_start_x","sentence_use","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_mod","subject_nr","subject_parity","t","t1","t2","t_display_on","target","target_word_nr","test_mode","text_left_x","time_GC_sentence_trigger","time_GC_trial_end","time_Setup_Sampling_Rate","time_about_this_experiment","time_acceptability_question","time_block_sequence","time_clear_screen","time_counterbalancingMODE","time_display_sentence","time_drift_correct","time_end_of_exp","time_end_of_practice_1","time_experiment","time_experiment_block_loop","time_experimental_loop","time_eyetracker_log_unicode","time_function_save_canvas_as_image","time_instructions","time_keyboard_response","time_logger","time_new_sketchpad","time_practice_block_loop","time_practice_instructions","time_practice_loop","time_practice_sequence","time_prepare_gaze_target","time_prepare_sentences","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_reset_feedback","time_reset_feedback_1","time_select_block","time_select_practice","time_set_test_mode","time_setup_condition","time_show_gaze_target_and_driftcorrect","time_test_mode_warning","time_trial_sequence","title","total_correct","total_response_time","total_responses","trial_end_trigger_fixated","trial_end_trigger_on_target","trial_type","trigger_time_gazetarget","trigger_time_trialend","uniform_coordinates","width","word","word_idx","x","x_left_gazetarget","x_left_trialend","x_right_gazetarget","y","y_bottom_gazetarget","y_top_gazetarget","y_top_trialend"
"barraca","tribuna","1","2","¿Se podía observar claramente el campo de juego desde la tribuna? ","¿Podía verse el paisaje montañoso desde la barraca? ","100","True","100","3","3176","3176","white","yes","EyeLogicOne","0","269","0.14","psycho",".","5","1025","Desde la tribuna se podía observar claramente el campo de juego.","psycho","psycho","0","relative","1","YES","undefined","1","YES","undefined","1","0","0","0","0","0","NA","1","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","b1","YES","¿Se podía observar claramente el campo de juego desde la tribuna? ","Desde la tribuna se podía observar claramente el campo de juego.","Desde la tribuna se podía observar claramente el campo de juego.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","49880.94139999885","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","10","1004","YES","91","None","psycho","NA","NA","36","0","0","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","11","1","Neonatal Nightingale","4.1.8","Desde la ","2","2","yes","0","1","NA","NA","4","1","NA","4","NA","3176.5454999986105","NA","NA","3929.567800005316","3176.5454999986105","NA","14522.53680001013","NA","1025","2","psycho","Desde la tribuna se podía observar claramente el campo de juego.","Desde la ","Desde la tribuna se podía observar claramente el campo de juego.","Desde la tribuna se podía observar claramente el campo de juego.","119","Desde la barraca se podía observar el hermoso paisaje montañoso.","301","125.0","Desde la tribuna se podía observar claramente el campo de juego.","1024","2","48000","-16","experiment","0","4","even","45987.94409999391","47533.38539999095","49880.850899993675","47792.000399989774","tribuna","2","False","119","45987.83969999931","47791.96119999688","45798.080699998536","NA","49988.31639999116","NA","53173.263099990436","30612.667800000054","47783.527399995364","45798.131099989405","NA","NA","5933.157599996775","NA","NA","NA","5933.413799997652","12333.50339999015","49990.53169999388","53173.3116999967","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","45798.10249998991","45798.12249999668","16269.431099994108","45798.144300002605","NA","NA","NA","NA","NA","10482.120599990594","45798.1129999971","45980.54459999548","NA","45797.51449999458","Sampling_Rate_Experiment","1","3176.5454999986105","1","1","1","practice","250","100","no","1920","juego.","10","1845.6080817885636","100","1728.0","150","984.3538295936723","565.0","515.0","972.0"
"trotando","evitando","1","2","¿Dejó él de evitar el problema complicado aunque estaba cansado?","¿Él dejó de trotar aunque estaba cansado?","50","True","50","3","2877","2877","white","yes","EyeLogicOne","0","635","0.14","psycho",".","10","1069","Aunque estaba cansado, él continuó evitando el problema complicado.","psycho","psycho","0","relative","0","NO","undefined","0","NO","undefined","2","1","1","1","0","1","NA","2","0","1","1","0","0","0","NA","0","1","0","0","1","1","NA","0","0","0","0","1","1","0","1","1","NA","0","0","0","0","1","1","0","1","b1","NO","¿Dejó él de evitar el problema complicado aunque estaba cansado?","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó evitando el problema complicado.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","A","21","0","1","61510.23240000359","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","8","1002","YES","325","None","psycho","NA","NA","36","1","1","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Aunque estaba cansado, él continuó ","5","2","yes","0","1","NA","NA","4","1","NA","4","NA","2577.6193999918178","NA","NA","3929.567800005316","2577.6193999918178","NA","14522.53680001013","NA","1069","2","psycho","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó ","Aunque estaba cansado, él continuó evitando el problema complicado.","Aunque estaba cansado, él continuó evitando el problema complicado.","121","Aunque estaba cansado, él continuó trotando con perseverancia.","182","125.0","Aunque estaba cansado, él continuó evitando el problema complicado.","1024","2","48000","-16","experiment","0","4","even","54681.24429999443","58139.78569999745","61510.15770000231","58398.63919999334","evitando","5","False","121","54681.14020000212","58398.59969999816","54491.07940000249","NA","61617.12619999889","NA","64202.00279999699","30612.667800000054","58389.92239999061","54491.119099999196","NA","NA","5933.157599996775","NA","NA","53181.86080000305","5933.413799997652","12333.50339999015","61618.488799998886","64202.06749999488","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","54491.093799995724","54491.11119999725","16269.431099994108","54491.13119998947","53859.802399994805","NA","NA","NA","NA","10482.120599990594","54491.10259998997","54674.80369999248","NA","54490.99589999241","Sampling_Rate_Experiment","1","5754.164899990428","2","1","1","practice","250","100","no","1920","complicado.","8","1812.5088592134616","100","1728.0","150","1141.699725951184","565.0","515.0","972.0"
"supermercado","narcotráfico","1","2","¿Podemos negar que el narcotráfico es un problema grave y complejo?","¿Podemos negar que el supermercado tiene una gran variedad de productos frescos y de calidad? ","66","True","66","3","2651","2651","white","yes","EyeLogicOne","0","480","0.14","psycho",".","8","1096","No podemos negar que el narcotráfico es un problema grave y complejo.","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","2","2","2","2","0","2","NA","3","0","2","2","0","0","0","NA","0","2","0","0","2","2","NA","0","0","0","0","2","2","0","2","2","NA","0","0","0","0","2","2","0","2","b1","NO","¿Podemos negar que el narcotráfico es un problema grave y complejo?","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el narcotráfico es un problema grave y complejo.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","N","20","0","1","71283.41750000254","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","11","1005","YES","94","None","psycho","NA","NA","36","2","2","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","12","1","Neonatal Nightingale","4.1.8","No podemos negar que el ","5","2","yes","0","2","NA","NA","4","2","NA","4","NA","2199.7572999971453","NA","NA","3929.567800005316","2199.7572999971453","NA","14522.53680001013","NA","1096","2","psycho","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el ","No podemos negar que el narcotráfico es un problema grave y complejo.","No podemos negar que el narcotráfico es un problema grave y complejo.","120","No podemos negar que el supermercado tiene una gran variedad de productos frescos y de calidad.","303","125.0","No podemos negar que el narcotráfico es un problema grave y complejo.","1024","2","48000","-16","experiment","0","4","even","65743.5131999955","68587.92569999059","71283.34259999974","68846.17089999665","narcotráfico","5","False","120","65743.40599999414","68846.14189999411","65551.74709999119","NA","71390.43449999008","NA","73597.50989999156","30612.667800000054","68838.0526999972","65551.78759999399","NA","NA","5933.157599996775","NA","NA","64208.63529999042","5933.413799997652","12333.50339999015","71391.85729999735","73597.56559999369","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","65551.7608999944","65551.7789000005","16269.431099994108","65551.79879999196","64876.239099990926","NA","NA","NA","NA","10482.120599990594","65551.76960000244","65736.48789999424","NA","65551.65459999989","Sampling_Rate_Experiment","2","7953.922199987574","3","1","1","practice","250","100","no","1920","complejo.","11","1865.4267207400414","100","1728.0","150","990.2776028626276","565.0","515.0","972.0"
"pisó","leyó","1","2","¿Leyó un libro interesante antes de terminar su tarea?","¿Pisó a propósito su lápiz después de terminar su tarea?","75","True","75","3","2562","2562","white","yes","EyeLogicOne","0","563","0.14","psycho",".","11","913","Después de terminar su tarea, leyó un libro interesante.","psycho","psycho","0","relative","1","NO","undefined","1","NO","undefined","2","3","3","3","0","3","NA","4","0","3","3","0","0","0","NA","0","3","0","0","3","3","NA","0","0","0","0","3","3","0","3","3","NA","0","0","0","0","3","3","0","3","b1","NO","¿Leyó un libro interesante antes de terminar su tarea?","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, leyó un libro interesante.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","77555.75079999107","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","8","1003","YES","19","None","psycho","NA","NA","36","3","3","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Después de terminar su tarea, ","5","2","yes","0","2","NA","NA","4","2","NA","4","NA","2295.7040000037523","NA","NA","3929.567800005316","2295.7040000037523","NA","14522.53680001013","NA","913","2","psycho","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, ","Después de terminar su tarea, leyó un libro interesante.","Después de terminar su tarea, leyó un libro interesante.","119","Después de terminar su tarea, pisó accidentalmente su lápiz.","193","125.0","Después de terminar su tarea, leyó un libro interesante.","1024","2","48000","-16","experiment","0","4","even","75017.16209998995","75568.05010000244","77555.68229999335","75825.8802999917","leyó","5","False","119","75017.05009999569","75825.85139998992","74837.82909999718","NA","77663.03470000275","NA","79966.15890000248","30612.667800000054","75818.16589999653","74837.87940000184","NA","NA","5933.157599996775","NA","NA","73606.81289999047","5933.413799997652","12333.50339999015","77664.35009999259","79966.20689998963","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","74837.85149999312","74837.87059999304","16269.431099994108","74837.89119998983","74274.78839999822","NA","NA","NA","NA","10482.120599990594","74837.86169999803","75010.48929999524","NA","74837.67569999327","Sampling_Rate_Experiment","3","10249.626199991326","4","1","1","practice","250","100","no","1920","interesante.","8","1815.9608924867096","100","1728.0","150","988.6820731998657","565.0","515.0","972.0"
"agregado","enseñado","1","2","¿El profesor ha enseñado durante pocos años en esta universidad?","¿El profesor agregó instrucciones para el proyecto? ","80","True","80","3","2485","2485","white","yes","EyeLogicOne","0","354","0.14","psycho",".","11","1026","El profesor ha enseñado durante muchos años en esta universidad.","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","2","4","4","4","0","4","NA","5","0","4","4","0","0","0","NA","0","4","0","0","4","4","NA","0","0","0","0","4","4","0","4","4","NA","0","0","0","0","4","4","0","4","b1","NO","¿El profesor ha enseñado durante pocos años en esta universidad?","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha enseñado durante muchos años en esta universidad.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","89864.51549999765","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","9","1001","YES","280","None","psycho","NA","NA","36","4","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","El profesor ha ","3","2","yes","0","2","NA","NA","4","2","NA","4","NA","2179.3231000046944","NA","NA","3929.567800005316","2179.3231000046944","NA","14522.53680001013","NA","1026","2","psycho","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha ","El profesor ha enseñado durante muchos años en esta universidad.","El profesor ha enseñado durante muchos años en esta universidad.","120","El profesor ha agregado algunas instrucciones importantes para el proyecto.","169","125.0","El profesor ha enseñado durante muchos años en esta universidad.","1024","2","48000","-16","experiment","0","4","even","81476.34729999118","87368.92069999885","89864.44469999697","87627.14419999975","enseñado","3","False","120","81476.0832000029","87627.03170000168","81273.97989999736","NA","89971.50739999779","NA","92158.3735000022","30612.667800000054","87619.0493000031","81274.02489999076","NA","NA","5933.157599996775","NA","NA","79973.68019999703","5933.413799997652","12333.50339999015","89972.88499999559","92158.42339998926","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","81273.99760000117","81274.01649999956","16269.431099994108","81274.0361999895","80648.7705999898","NA","NA","NA","NA","10482.120599990594","81274.00730000227","81469.51470000204","NA","81273.76899999217","Sampling_Rate_Experiment","4","12428.94929999602","5","1","1","practice","250","100","no","1920","universidad.","9","1867.1431400669558","100","1728.0","150","992.0277497659115","565.0","515.0","972.0"
"divulgada","vinculada","1","2","","","80","True","80","3","2485","2485","white","yes","EyeLogicOne","0","423","0.14","psycho",".","11","983","La información será divulgada pronto y de manera responsable.","psycho","psycho","0","relative","undefined","","undefined","1","","undefined","None","5","5","5","0","5","0","6","0","5","5","0","0","0","0","0","5","0","0","5","5","NA","0","0","0","0","5","5","0","5","5","0","0","0","0","0","5","5","0","5","b1","","","La información será divulgada pronto y de manera responsable.","La información será divulgada pronto y de manera responsable.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","L","19","0","1","103989.954699995","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","8","86","NO","221","None","psycho","85","61","36","0","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","9","1","Neonatal Nightingale","4.1.8","La información será","3","2","yes","0","2","NA","2","4","2","NA","4","NA","6419.381100000464","NA","6419.381100000464","3929.567800005316","2179.3231000046944","NA","14522.53680001013","NA","983","2","psycho","La información será divulgada pronto y de manera responsable.","La información será","La información será divulgada pronto y de manera responsable.","La información será vinculada con otros datos para obtener conclusiones más precisas.","119","La información será divulgada pronto y de manera responsable.","274","125.0","La información será divulgada pronto y de manera responsable.","1024","2","48000","-16","experiment","0","4","even","100047.26949999167","100670.76500000258","103989.88819999795","100929.51419999008","divulgada","3","False","119","100047.15980000037","100929.48949999118","99855.51229999692","NA","89971.50739999779","99266.49239999824","104095.95180000179","30612.667800000054","100920.90519999329","99855.56379999616","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","92165.23569999845","5933.413799997652","12333.50339999015","89972.88499999559","104096.01519998978","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","99855.53410000284","99855.55549999117","16269.431099994108","99855.57600000175","92836.73460000136","NA","NA","NA","NA","10482.120599990594","99855.54530000081","100039.57039999659","NA","99855.08159999154","Sampling_Rate_Experiment","4","12428.94929999602","5","1","1","experimental","250","100","no","1920","responsable.","8","1818.5217031599466","100","1728.0","150","1028.6483701719135","565.0","515.0","972.0"
"aconsejo","comparto","1","2","¿La persona guarda sus conocimientos solo para sí misma? (","¿La constancia es un valor que esta persona promueve?","100","True","100","3","1727","1727","white","yes","EyeLogicOne","0","298","0.14","psycho",".","7","1012","Yo siempre aconsejo ser perseverante y constante en el trabajo.","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","1","6","6","6","0","6","0","7","0","6","6","0","0","0","0","0","6","0","0","6","6","NA","0","0","0","0","6","6","0","6","6","0","0","0","0","0","6","6","0","6","b1","YES","¿La constancia es un valor que esta persona promueve?","Yo siempre aconsejo ser perseverante y constante en el trabajo.","Yo siempre aconsejo ser perseverante y constante en el trabajo.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","Y","20","0","1","109711.40309999464","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","9","30","YES","388","None","psycho","51","63","36","1","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","Yo siempre ","2","2","yes","0","1","NA","2","4","1","NA","4","NA","1727.8869000001578","NA","6419.381100000464","3929.567800005316","1727.8869000001578","NA","14522.53680001013","NA","1012","2","psycho","Yo siempre aconsejo ser perseverante y constante en el trabajo.","Yo siempre ","Yo siempre aconsejo ser perseverante y constante en el trabajo.","Yo siempre comparto mi conocimiento y aprendizajes.","120","Yo siempre aconsejo ser perseverante y constante en el trabajo.","116","125.0","Yo siempre aconsejo ser perseverante y constante en el trabajo.","1024","2","48000","-16","experiment","0","4","even","105601.75529999833","107619.88430000201","109711.31739999691","107877.86989999586","aconsejo","2","False","120","105601.64949999307","107877.8442999901","105422.2415999975","NA","109818.74740000057","99266.49239999824","111554.48029999388","30612.667800000054","107870.0119999994","105422.29370000132","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","104104.187799996","5933.413799997652","12333.50339999015","109820.11960000091","111554.5323999977","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","105422.26549999032","105422.28549999709","16269.431099994108","105422.3062999954","104802.63340000238","NA","NA","NA","NA","10482.120599990594","105422.27609999827","105594.60179999587","NA","105422.02559999714","Sampling_Rate_Experiment","1","1727.8869000001578","1","1","1","experimental","250","100","no","1920","trabajo.","9","1822.501535228256","100","1728.0","150","1020.4154105225291","565.0","515.0","972.0"
"brusca","humana","1","2","","","100","True","100","3","1727","1727","white","yes","EyeLogicOne","0","495","0.14","psycho",".","15","1125","A veces, la comunicación humana puede ser complicada y malinterpretada.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","7","7","7","0","7","0","8","0","7","7","0","0","0","0","0","7","0","0","7","7","NA","0","0","0","0","7","7","0","7","7","0","0","0","0","0","7","7","0","7","b1","","","A veces, la comunicación humana puede ser complicada y malinterpretada.","A veces, la comunicación humana puede ser complicada y malinterpretada.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","A","21","0","1","133197.6927999931","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","9","77","NO","320","None","psycho","71","72","36","2","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","A veces, la comunicación ","4","2","yes","0","1","NA","2","4","1","NA","4","NA","1727.8869000001578","NA","6419.381100000464","3929.567800005316","1727.8869000001578","NA","14522.53680001013","NA","1125","2","psycho","A veces, la comunicación humana puede ser complicada y malinterpretada.","A veces, la comunicación ","A veces, la comunicación humana puede ser complicada y malinterpretada.","A veces, la comunicación humana puede ser complicada y malinterpretada.","121","A veces, la comunicación brusca puede causar malentendidos y conflictos.","37","125.0","A veces, la comunicación humana puede ser complicada y malinterpretada.","1024","2","48000","-16","experiment","0","4","even","113177.30679998931","129586.43299998948","133197.6171999995","129845.45719999005","humana","4","False","121","113176.99089999951","129845.41029999673","112979.3423999945","NA","109818.74740000057","99266.49239999824","133303.74350000056","30612.667800000054","129836.56199999677","112979.39259999839","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","111567.21759999346","5933.413799997652","12333.50339999015","109820.11960000091","133303.79989999346","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","112979.36289999052","112979.38279999653","16269.431099994108","112979.40559999552","112273.10589999252","NA","NA","NA","NA","10482.120599990594","112979.37299999467","113169.6712999983","NA","112979.1808000009","Sampling_Rate_Experiment","1","1727.8869000001578","1","1","1","experimental","250","100","no","1920","malinterpretada.","9","1762.291560751778","100","1728.0","150","987.5282866934896","565.0","515.0","972.0"
"turbulencias","dependencias","1","2","¿El exceso de trabajo impidió terminar a tiempo?","¿El mal tiempo causó un accidente?","100","True","100","3","1667","1667","white","yes","EyeLogicOne","0","411","0.14","psycho",".","6","1391","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","psycho","psycho","0","relative","1","NO","undefined","1","NO","undefined","2","8","8","8","0","8","0","9","0","8","8","0","0","0","0","0","8","0","0","8","8","NA","0","0","0","0","8","8","0","8","8","0","0","0","0","0","8","8","0","8","b1","NO","¿El mal tiempo causó un accidente?","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","A","21","0","1","138075.7736999949","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","14","8","YES","271","None","psycho","95","90","36","3","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","15","1","Neonatal Nightingale","4.1.8","A pesar de que las ","5","2","yes","0","2","NA","2","4","2","NA","4","NA","1607.9353999957675","NA","6419.381100000464","3929.567800005316","1607.9353999957675","NA","14522.53680001013","NA","1391","2","psycho","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","A pesar de que las ","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","A pesar de que las dependencias estaban sobrecargadas, logramos completar el proyecto a tiempo.","121","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","356","125.0","A pesar de que las turbulencias eran intensas, el piloto logró aterrizar de manera segura.","1024","2","48000","-16","experiment","0","4","even","135068.78879999567","135236.4116999961","138075.68500000343","135494.0174999938","turbulencias","5","False","121","135068.68440000108","135493.99449999328","134889.89340000262","NA","138182.95059999218","99266.49239999824","139798.05879999185","30612.667800000054","135486.53799999738","134889.94589999493","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","133312.77849999606","5933.413799997652","12333.50339999015","138184.13120000332","139798.1085999927","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","134889.9165999901","134889.9359999923","16269.431099994108","134889.9606999912","134016.31920000364","NA","NA","NA","NA","10482.120599990594","134889.92729999882","135062.49209999805","NA","134889.67079999566","Sampling_Rate_Experiment","2","3335.8222999959253","2","1","1","experimental","250","100","no","1920","segura.","14","1891.604352596158","100","1728.0","150","1032.7922325048269","565.0","515.0","972.0"
"heterogénea","equilibrada","1","2","","","100","True","100","3","1667","1667","white","yes","EyeLogicOne","0","507","0.14","psycho",".","5","773","La comunidad local es muy equilibrada y unida.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","9","9","9","0","9","0","10","0","9","9","0","0","0","0","0","9","0","0","9","9","NA","0","0","0","0","9","9","0","9","9","0","0","0","0","0","9","9","0","9","b1","","","La comunidad local es muy equilibrada y unida.","La comunidad local es muy equilibrada y unida.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","L","19","0","1","145497.1385999961","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","7","76","NO","133","None","psycho","46","73","36","4","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","8","1","Neonatal Nightingale","4.1.8","La comunidad local es muy ","5","2","yes","0","2","NA","2","4","2","NA","4","NA","1607.9353999957675","NA","6419.381100000464","3929.567800005316","1607.9353999957675","NA","14522.53680001013","NA","773","2","psycho","La comunidad local es muy equilibrada y unida.","La comunidad local es muy ","La comunidad local es muy equilibrada y unida.","La comunidad local es muy equilibrada y unida.","119","La comunidad local es muy heterogénea en cuanto a su cultura y opiniones.","27","125.0","La comunidad local es muy equilibrada y unida.","1024","2","48000","-16","experiment","0","4","even","141139.28639999358","143565.32419999712","145497.06359999254","143823.82679999864","equilibrada","5","False","119","141139.18539999577","143823.73489999736","140961.0876999941","NA","138182.95059999218","99266.49239999824","145603.24719999335","30612.667800000054","143815.44629999553","140961.12559999165","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","139806.5348999953","5933.413799997652","12333.50339999015","138184.13120000332","145603.30099999555","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","140961.10059999046","140961.1176999897","16269.431099994108","140961.13679998962","140517.09449999908","NA","NA","NA","NA","10482.120599990594","140961.10909999697","141132.6973999967","NA","140961.01679999265","Sampling_Rate_Experiment","2","3335.8222999959253","2","1","1","experimental","250","100","no","1920","unida.","7","1861.1688647780215","100","1728.0","150","1006.9296021298696","565.0","515.0","972.0"
